index,c_office_type_node_id,c_tts_node_id,c_office_type_desc,c_office_type_desc_chn,c_parent_id
115,061040508,061040528,[not yet translated],尚書省工部,0610405
116,06104050802,061040529,[not yet translated],工部司,061040508
117,06104050803,061040530,[not yet translated],屯田司,061040508
118,06104050804,061040531,[not yet translated],虞部司,061040508
119,06104050805,061040532,[not yet translated],稅部司,061040508
120,0610406,0610406,Secretariat-Chancellery ,中書門下/政事堂門,06104
121,061040602,061040602,[not yet translated],吏房,0610406
122,061040603,061040603,[not yet translated],戶房,0610406
123,061040604,061040604,[not yet translated],兵房,0610406
124,061040605,061040605,[not yet translated],禮房,0610406
125,061040606,061040606,[not yet translated],樞機房,0610406
126,0610407,0610407,Preceptors and Dukes ,師保門,06104
127,061040702,061040702,[not yet translated],三師,0610407
128,061040703,061040703,[not yet translated],三公,0610407
129,06105,06105,Censorate ,御史臺類,06
130,0610502,0610502,Headquarters Bureau ,臺院,06105
131,0610503,0610503,Palace Bureau ,殿院,06105
132,0610504,0610504,Investigation Bureau ,察院,06105
133,0610505,0610505,Auxiliary Censorate ,東都留臺,06105
134,06106,06106,Chief Ministers and Directors Offices ,寺監類,06
135,0610602,0610602,Courts of Imperial Sacrifices ,太常寺門,06106
136,061060202,061060202,[not yet translated],太常寺,0610602
137,061060203,061060203,[not yet translated],兩京郊社署,0610602
138,061060204,061060204,[not yet translated],諸陵署,0610602
139,061060205,061060205,[not yet translated],諸太子陵署,0610602
140,061060206,061060206,[not yet translated],太樂署,0610602
141,061060207,061060207,[not yet translated],鼓吹署,0610602
142,061060208,061060208,[not yet translated],太醫署,0610602
143,061060209,061060209,[not yet translated],太卜署,0610602
144,061060210,061060210,[not yet translated],廩犧署,0610602
145,061060211,061060211,[not yet translated],汾祠署,0610602
146,061060212,061060212,[not yet translated],兩京齊太公廟署,0610602
147,0610603,0610603,Imperial Entertainments ,光祿寺門,06106
148,061060302,061060302,[not yet translated],太官署,0610603
149,061060303,061060303,[not yet translated],珍羞署,0610603
150,061060304,061060304,[not yet translated],良醞署,0610603
151,061060305,061060305,[not yet translated],掌醢署,0610603
152,0610604,0610604,Imperial Regalia ,衛尉寺門,06106
153,061060402,061060402,[not yet translated],兩京武庫署,0610604
154,061060403,061060403,[not yet translated],武器署,0610604
155,061060404,061060404,[not yet translated],守宮署,0610604
156,0610605,0610605,Imperial Clan ,宗正寺門,06106
157,061060502,061060502,[not yet translated],諸陵台,0610605
158,061060503,061060503,[not yet translated],崇玄署,0610605
159,0610606,0610606,Imperial Stud ,太僕寺門,06106
160,061060602,061060602,[not yet translated],乘黄署,0610606
161,061060603,061060603,[not yet translated],典厩署,0610606
162,061060604,061060604,[not yet translated],典牧署,0610606
163,061060605,061060605,[not yet translated],車府署,0610606
164,061060606,061060606,[not yet translated],諸牧監,0610606
165,06106060602,061060607,[not yet translated],東宮諸牧監,061060606
166,061060607,061060608,[not yet translated],沙苑監,0610606
167,0610607,0610607,State Ceremonial ,鴻臚寺門,06106
168,061060702,061060702,[not yet translated],典客署,0610607
169,061060703,061060703,[not yet translated],司儀署,0610607
170,0610608,0610608,Imperial Granaries ,司農寺門,06106
171,061060802,061060802,[not yet translated],上林署,0610608
172,061060803,061060803,[not yet translated],太倉署,0610608
173,061060804,061060804,[not yet translated],鉤盾署,0610608
174,061060805,061060805,[not yet translated],䆃官署,0610608
175,061060806,061060806,[not yet translated],諸倉署,0610608
176,061060807,061060807,[not yet translated],司竹監,0610608
177,061060808,061060808,[not yet translated],慶善監,0610608
178,061060809,061060809,[not yet translated],石門監,0610608
179,061060810,061060810,[not yet translated],溫泉湯監,0610608
180,061060811,061060811,[not yet translated],京都諸宮苑總監,0610608
181,061060812,061060812,[not yet translated],京都諸園苑四面監,0610608
182,061060813,061060813,[not yet translated],京都諸園苑四面監,0610608
183,061060814,061060814,[not yet translated],九成宮總監,0610608
184,061060815,061060815,[not yet translated],諸鹽池監,0610608
185,061060816,061060816,[not yet translated],諸屯監,0610608
186,0610609,0610609,Imperial Treasury ,太府寺門,06106
187,061060902,061060902,[not yet translated],兩京諸市署,0610609
188,061060903,061060903,[not yet translated],平準署,0610609
189,061060904,061060904,[not yet translated],左藏署,0610609
190,061060905,061060905,[not yet translated],右藏署,0610609
191,061060906,061060906,[not yet translated],常平署,0610609
192,0610610,0610610,Judicial Review ,大理寺門,06106
193,0610611,0610611,Directorate of Education ,國子監門,06106
194,061061102,061061102,[not yet translated],國子學,0610611
195,061061103,061061103,[not yet translated],太學,0610611
196,061061104,061061104,[not yet translated],廣文館,0610611
197,061061105,061061105,[not yet translated],四門學,0610611
198,061061106,061061106,[not yet translated],律學,0610611
199,061061107,061061107,[not yet translated],書學,0610611
200,061061108,061061108,[not yet translated],算學,0610611
201,0610612,0610612,Directorate of Imperial Manufactories ,少府監門,06106
202,061061202,061061202,[not yet translated],中尚署,0610612
203,061061203,061061203,[not yet translated],左尚署,0610612
204,061061204,061061204,[not yet translated],右尚署,0610612
205,061061205,061061205,[not yet translated],織染署,0610612
206,061061206,061061206,[not yet translated],掌冶署,0610612
207,061061207,061061207,[not yet translated],諸冶監,0610612
208,061061208,061061208,[not yet translated],互市監,0610612
209,0610613,0610613,Directorate for Weaponry ,軍器監門,06106
210,061061302,061061302,[not yet translated],甲坊署,0610613
211,061061303,061061303,[not yet translated],弩坊署,0610613
212,0610614,0610614,Directorate for the Palace Buildings ,將作監門,06106
213,061061402,061061402,[not yet translated],左校署,0610614
214,061061403,061061403,[not yet translated],右校署,0610614
215,061061404,061061404,[not yet translated],中校署,0610614
216,061061405,061061405,[not yet translated],甄官署,0610614
217,061061406,061061406,[not yet translated],百工監,0610614
218,061061407,061061407,[not yet translated],就穀監,0610614
219,061061408,061061408,[not yet translated],庫穀監,0610614
220,061061409,061061409,[not yet translated],斜穀監,0610614
221,061061410,061061410,[not yet translated],太陰監,0610614
222,061061411,061061411,[not yet translated],伊陽監,0610614
223,0610615,0610615,Directorate of Waterways ,都水監門,06106
224,061061502,061061502,[not yet translated],舟檝署,0610615
225,061061503,061061503,[not yet translated],河渠署,0610615
226,061061504,061061504,[not yet translated],諸津,0610615
227,0610616,0610616,Directorate of Astronomy ,司天監門,06106
228,06107,06107,Rank Offices ,品位官類,06
229,0610702,0610702,Prestige Titles (Civil) ,文散官門,06107
230,0610703,0610703,Prestige Titles (Military) ,武散官門,06107
231,06108,06108,Military Offices ,武官類,06
232,0610802,0610802,Six Imperial Armies ,六軍門,06108
233,061080202,061080202,[not yet translated],龍武軍,0610802
234,06108020202,061080203,[not yet translated],左龍武軍,061080202
235,06108020203,061080204,[not yet translated],右龍武軍,061080202
236,061080203,061080205,[not yet translated],神武軍,0610802
237,06108020302,061080206,[not yet translated],左神武軍,061080203
238,06108020303,061080207,[not yet translated],右神武軍,061080203
239,061080204,061080208,[not yet translated],羽林軍,0610802
240,06108020402,061080209,[not yet translated],左羽林軍,061080204
241,06108020403,061080210,[not yet translated],右羽林軍,061080204
242,06108020404,061080211,[not yet translated],左羽林軍翊中郎將府,061080204
243,0610803,0610803,Heavenly Strategy Army Garrison ,天策上軍府,06108
244,0610804,0610804,Sixteen Garrison Commands ,中央衛軍十六衛府門,06108
245,061080402,061080402,[not yet translated],左右衛,0610804
246,06108040202,061080403,[not yet translated],左衛,061080402
247,06108040203,061080404,[not yet translated],右衛,061080402
248,06108040204,061080405,[not yet translated],親衛中郎將府,061080402
249,06108040205,061080406,[not yet translated],勳一衛中郎將府,061080402
250,06108040206,061080407,[not yet translated],勳二衛中郎將府,061080402
251,06108040207,061080408,[not yet translated],翊一衛中郎將府,061080402
252,06108040208,061080409,[not yet translated],翊二衛中郎將府,061080402
253,061080403,061080410,[not yet translated],左右驍衛,0610804
254,06108040302,061080411,[not yet translated],左驍衛,061080403
255,06108040303,061080412,[not yet translated],右驍衛,061080403
256,06108040304,061080413,[not yet translated],左驍衛翊中郎將府,061080403
257,06108040305,061080414,[not yet translated],右驍衛翊中郎將府,061080403
258,061080404,061080415,[not yet translated],左右武衛,0610804
259,06108040402,061080416,[not yet translated],左武衛,061080404
260,06108040403,061080417,[not yet translated],右武衛,061080404
261,06108040404,061080418,[not yet translated],左武衛翊中郎將府,061080404
262,06108040405,061080419,[not yet translated],右武衛翊中郎將府,061080404
263,06108040406,061080420,[not yet translated],右武衛,061080404
264,06108040407,061080421,[not yet translated],左威衛,061080404
265,06108040408,061080422,[not yet translated],左威衛翊中郎將府,061080404
266,06108040409,061080423,[not yet translated],右威衛翊中郎將府,061080404
267,061080405,061080424,[not yet translated],左右領軍衛,0610804
268,06108040502,061080425,[not yet translated],左領軍衛,061080405
269,06108040503,061080426,[not yet translated],右領軍衛,061080405
270,06108040504,061080427,[not yet translated],左領軍衛翊中郎將府,061080405
271,06108040505,061080428,[not yet translated],右領軍衛翊中郎將府,061080405
272,061080406,061080429,[not yet translated],左右金吾衛,0610804
273,06108040602,061080430,[not yet translated],左金吾衛,061080406
274,06108040603,061080431,[not yet translated],右金吾衛,061080406
275,06108040604,061080432,[not yet translated],左金吾衛翊中郎將府,061080406
276,06108040605,061080433,[not yet translated],右金吾衛翊中郎將府,061080406
277,061080407,061080434,[not yet translated],左右監門衛,0610804
278,06108040702,061080435,[not yet translated],左監門衛,061080407
279,06108040703,061080436,[not yet translated],右監門衛,061080407
280,06108040704,061080437,[not yet translated],左監門衛翊中郎將府,061080407
281,06108040705,061080438,[not yet translated],右監門衛翊中郎將府,061080407
282,061080408,061080439,[not yet translated],左右千牛衛,0610804
283,06108040802,061080440,[not yet translated],左千牛衛,061080408
284,06108040803,061080441,[not yet translated],右千牛衛,061080408
285,06108040804,061080442,[not yet translated],左千牛衛翊中郎將府,061080408
286,06108040805,061080443,[not yet translated],右千牛衛翊中郎將府,061080408
287,061080409,061080444,[not yet translated],諸衛折衝都尉府,0610804
288,0610805,0610805,Ten Guard Commands ,東宮衛軍十率府,06108
289,061080502,061080502,[not yet translated],兵曹,0610805
290,061080503,061080503,[not yet translated],冑曹,0610805
291,0610806,0610806,Northern Command Imperial Army ,北衙禁軍門,06108
292,061080602,061080602,[not yet translated],屯營,0610806
293,06108060202,061080603,[not yet translated],左屯營,061080602
294,06108060203,061080604,[not yet translated],右屯營,061080602
295,0610807,0610807,Twleve Imperial Armies of the Southern Command ,南衙十二衛禁軍門,06108
296,061080702,061080702,[not yet translated],威遠營（軍）,0610807
297,06108070202,061080703,[not yet translated],左威遠營,061080702
298,06108070203,061080704,[not yet translated],右威遠營,061080702
299,061080703,061080705,[not yet translated],英武軍,0610807
300,06108070302,061080706,[not yet translated],左英武軍,061080703
301,06108070303,061080707,[not yet translated],右英武軍,061080703
302,0610808,0610808,Armies of Inspired Awesomeness ,神威軍,06108
303,061080802,061080802,[not yet translated],左神威軍,0610808
304,061080803,061080803,[not yet translated],右神威軍,0610808
305,061080804,061080804,[not yet translated],衙前射生手,0610808
306,061080805,061080805,[not yet translated],左屯衛,0610808
307,061080806,061080806,[not yet translated],右屯衛,0610808
308,0610809,0610809,Armies of Imperial Strategy ,神策軍,06108
309,061080902,061080902,[not yet translated],左神策軍,0610809
310,061080903,061080903,[not yet translated],右神策軍,0610809
311,0610810,0610810,Armies of Pacification ,宣威軍,06108
312,0610811,0610811,Agile Cavalry General Garrison ,驃騎將軍府,06108
313,0610812,0610812,Chariot and Horse General Garrison ,車騎將軍府,06108
314,06109,06109,Local Offices ,府州郡縣官類,06
315,0610902,0610902,Palace Command ,殿前司,06109
316,0610903,0610903,Imperial Bodyguard Command ,侍衛親軍司,06109
317,0610904,0610904,Metropolitan Prefecture Offices ,京府官門,06109
318,0610905,0610905,Regency of Eastern Capital ,東都留守府,06109
319,0610906,0610906,Branch Offices in the Eastern Capital ,東都分司官,06109
320,0610907,0610907,Regency of Western Capital ,西京留守府,06109
321,0610908,0610908,Branch Department of State Affairs ,行臺尚書省門,06109
322,0610909,0610909,Area Command ,總管府門,06109
323,0610910,0610910,Commander-in-chief ,都督府門,06109
324,0610911,0610911,Protectorate ,都護府門,06109
325,061091102,061091102,[not yet translated],大都護府,0610911
326,061091103,061091103,[not yet translated],上都護府,0610911
327,0610912,0610912,Local Offices (Prefecture) ,州郡官門,06109
328,061091202,061091202,[not yet translated],州官,0610912
329,06109120202,061091203,[not yet translated],司倉參軍,061091202
330,06109120203,061091204,[not yet translated],司戶參軍,061091202
331,061091203,061091205,[not yet translated],郡官,0610912
332,061091204,061091206,[not yet translated],刺史,0610912
333,06109120402,061091207,[not yet translated],司隸臺,061091204
334,0610913,0610913,Local Offices (District) ,縣鄉官門,06109
335,061091302,061091302,[not yet translated],縣官,0610913
336,06109130202,061091303,[not yet translated],縣功曹,061091302
337,0610914,0610914,"Offices for Guarding Forts, Mountains and Streams, Passes and Fords ",鎮戍、嶽瀆、關津官門,06109
338,06110,06110,Commission Assignments ,使職差遣類,06
339,0611002,0611002,Branch Department of State Affairs ,行臺省門,06110
340,061100202,061100202,[not yet translated],百工監,0611002
341,061100203,061100203,[not yet translated],武器監,0611002
342,061100204,061100204,[not yet translated],農圃監,0611002
343,061100205,061100205,[not yet translated],食貨監,0611002
344,0611003,0611003,Mobile Brigade ,行營,06110
345,0611004,0611004,Military Commissioners ,軍政使職門,06110
346,061100402,061100402,[not yet translated],節度使府官,0611004
347,061100403,061100403,[not yet translated],監軍使院,0611004
348,061100404,061100404,[not yet translated],觀察使府官,0611004
349,061100405,061100405,[not yet translated],團練使府官,0611004
350,061100406,061100406,[not yet translated],防禦使府官,0611004
351,061100407,061100407,[not yet translated],安撫使府官,0611004
352,061100408,061100408,[not yet translated],招討使府官,0611004
353,061100409,061100409,[not yet translated],經略使府官,0611004
354,061100410,061100410,[not yet translated],行軍幕府官,0611004
355,061100411,061100411,[not yet translated],行營幕府官,0611004
356,061100412,061100412,[not yet translated],天下兵馬元帥府,0611004
357,0611005,0611005,Fiscal Commissioners ,財政使職門,06110
358,061100502,061100502,[not yet translated],三司使,0611005
359,061100503,061100503,[not yet translated],轉運使,0611005
360,061100504,061100504,[not yet translated],鹽鐵使,0611005
361,061100505,061100505,[not yet translated],度支使官,0611005
362,061100506,061100506,[not yet translated],營田使官,0611005
363,061100507,061100507,[not yet translated],勾當租庸地稅使,0611005
364,061100508,061100508,[not yet translated],勸農使,0611005
365,061100509,061100509,[not yet translated],戶口使,0611005
366,061100510,061100510,[not yet translated],租庸使,0611005
367,061100511,061100511,[not yet translated],鑄錢使,0611005
368,0611006,0611006,The Various Palace Commissioners ,內諸司使職門,06110
369,061100602,061100602,[not yet translated],樞密院,0611006
370,061100603,061100603,[not yet translated],崇政院,0611006
371,061100604,061100604,[not yet translated],中門使,0611006
372,061100605,061100605,[not yet translated],宣徽院,0611006
373,0611007,0611007,Investigatory Commissioners ,監察使職門,06110
374,061100702,061100702,[not yet translated],採訪使,0611007
375,061100703,061100703,[not yet translated],黜陟使,0611007
376,061100704,061100704,[not yet translated],宣慰使,0611007
377,061100705,061100705,[not yet translated],宣諭和協使,0611007
378,061100706,061100706,[not yet translated],宣諭使,0611007
379,0611008,0611008,Acting Offices ,檢校官,06110
380,0611009,0611009,Probationary Appointments ,試官,06110
381,06111,06111,Offices of Border Regimes ,周邊政權職官類,06
382,0611102,0611102,Tujue and (Huihe) Offices ,突厥與回鶻職官門,06111
383,0611103,0611103,Tubo (Turfan) Offices ,吐蕃職官門,06111
384,0611104,0611104,Nanzhao Offices ,南詔職官門,06111
385,0611105,0611105,Bohai Offices ,渤海職官門,06111
386,06112,06112,Noble and Honorary Offices ,勳爵類,06
387,0611202,0611202,Noble and Honorary Offices ,爵勳門,06112
388,061120202,061120202,Noble Titles ,爵,0611202
389,0611203,061120203,Honorific Titles ,勳,06112
390,15,15,Song Dynasty,宋朝,0
391,1501,1501,Palace Institutions,宮廷制度類,15
392,150101,150101,Imperial Offices,帝后門,1501
393,150102,150102,Secretariat Palace Services,尚書內省門,1501
394,150103,150103,Heir Apparent's Offices,皇太子與東宮官門,1501
395,150104,150104,Princesses' Establisment and Commandant Escort Office,公主與駙馬都尉門,1501
396,150105,150105,Imperial Princes' Establishment,親王府與王府官門,1501
397,150106,150106,Institute of Academicians,學士院門,1501
398,150107,150107,Classics Colloquium Office,經筵官門,1501
399,150108,150108,Eunuch Offices,宦官門,1501
400,15010801,15010801,Department of Palace Attendants,宦官門-內侍省,150108
401,1501080101,1501080101,Palace Personnel Office,宦官門-內侍省前身(內班院),15010801
402,1501080102,1501080102,Eunuch Attendants Office,宦官門-內侍省前身(黃門院),15010801
403,1501080103,1501080103,Eunuch Duty Group Office,宦官門-內侍省前身(內侍省內侍班院),15010801
404,15010802,15010802,Palace Eunuch Services,宦官門-入內內侍省,150108
405,1501080201,1501080201,Palace General Administration Services,宦官門-入內內侍省前身-(入內都知司與東門都知司),15010802
406,1501080202,1501080202,Court of Palace High-Rank Servitors,宦官門-入內內侍省前身(內中高品班院),15010802
407,1501080203,1501080203,Inner Palace Personnel Office,宦官門-入內內侍省前身(入內內班院),15010802
408,1501080204,1501080204,Imperial Gate Service Office,宦官門-入內內侍省前身(入內黃門班院),15010802
409,1501080205,1501080205,Palace Eunuch Duty Group,宦官門-入內內侍省前身(內侍省入內內侍班院),15010802
410,1501080206,1501080206,Palace Eunuch Services Subordinate Offices,宦官門-入內內侍省屬司,15010802
411,150109,150109,Hanlin Artisan Institute,翰林院門,1501
412,15010901,15010901,Astrologer Services,翰林天文院(局)門,150109
413,15010902,15010902,Imperial Painting Academy,翰林圖畫院(局)門,150109
414,15010903,15010903,Imperial Academy of Calligraphy,翰林御書院(翰林書藝局)門,150109
415,15010904,15010904,Physician Service,翰林醫官院(局)門,150109
416,1502,1502,State Council Offices,宰執官類,15
417,150202,150202,Grand Councilor Offices,宰相門,1502
418,150203,150203,Manager of National Security Matters,平章軍國事門,1502
419,150204,150204,Military Commissioner and Grand Councilor,使相門,1502
420,150205,150205,Vice Grand Councilor Offices,執政門,1502
421,1503,1503,Central Government Offices,中樞機構類,15
422,150301,150301,Central Government Offices (before 1080),中樞機構類(元豐正名前),1503
423,15030101,15030101,Grand Preceptors and Counselors Offices,三師三公三少門,150301
424,15030102,15030102,Secretariat Chancellory,中書門下門,150301
425,15030103,15030103,Secretariat Chancellory: Subordinate Offices,中書門下附屬機構門,150301
426,15030104,15030104,Bureau of Military Affairs,樞密院門,150301
427,15030105,15030105,State Finance Commission,三司門,150301
428,15030106,15030106,Remonstrance Bureau,諫院門,150301
429,15030107,15030107,Judicial Control Office,審刑院門,150301
430,15030108,15030108,Ministry of Justice,刑部官門,150301
431,15030109,15030109,Capital Bureau of Judicial Investigation,在京糾察刑獄司門,150301
432,15030110,15030110,Court of Palace Attendants,宣徽院門,150301
433,15030111,15030111,Horse Office,群牧司門,150301
434,15030112,15030112,Academicians of Various Halls and Chambers,殿閣學士門,150301
435,15030113,15030113,Three Institutes and Imperial Archives,三館秘閣門,150301
436,150302,150302,Central Government Offices (after 1080),中樞機構類(元豐正名後),1503
437,15030201,15030201,Three Departments,三省門,150302
438,1503020101,1503020101,Chancellory,三省門-門下省,15030201
439,1503020102,1503020102,Secretariat,三省門-中書省,15030201
440,1503020103,1503020103,Department of State Affairs,三省門-尚書省,15030201
441,15030202,15030202,Department of Military Affairs Subordinate Offices,三省樞密院附屬官司門,150302
442,15030203,15030203,Six Ministries of the Department of State Affairs,尚書省六部門,150302
443,1503020301,1503020301,Ministry of Personnel,尚書省六部門-吏部,15030203
444,1503020302,1503020302,Ministry of Revenue,尚書省六部門-戶部,15030203
445,1503020303,1503020303,Ministry of Rites,尚書省六部門-禮部,15030203
446,1503020304,1503020304,Ministry of War,尚書省六部門-兵部,15030203
447,1503020305,1503020305,Ministry of Justice,尚書省六部門-刑部,15030203
448,1503020306,1503020306,Ministry of Works,尚書省六部門-工部,15030203
449,15030204,15030204,Imperial Archive Offices,秘書省門,150302
450,15030205,15030205,Historiography Offices,修史機構門,150302
451,15030206,15030206,Palace Administration,殿中省門,150302
452,15030207,15030207,Courts and Directorates,寺監門,150302
453,1503020701,1503020701,Court of Imperial Sacrifices,寺監門-太常寺,15030207
454,1503020702,1503020702,Court of the Imperial Clan,寺監門-宗正寺與大宗正司,15030207
455,1503020703,1503020703,Court of Imperial Entertainments,寺監門-光祿寺,15030207
456,1503020704,1503020704,Court of Imperial Regalia,寺監門-衛尉寺,15030207
457,1503020705,1503020705,Court of Imperial Stud,寺監門-太僕寺,15030207
458,1503020706,1503020706,Court of the Judicial Review,寺監門-大理寺,15030207
459,1503020707,1503020707,Court for Dependencies,寺監門-鴻臚寺,15030207
460,1503020708,1503020708,Court of National Granaries,寺監門-司農寺,15030207
461,1503020709,1503020709,Court of the Imperial Treasury,寺監門-太府寺,15030207
462,1503020710,1503020710,Directorate for Education,寺監門-國子監,15030207
463,1503020711,1503020711,Directorate for Imperial Manufactories,寺監門-少府監,15030207
464,1503020712,1503020712,Directorate for Armaments,寺監門-軍器監,15030207
465,1503020713,1503020713,Directorate for the Palace Buildings,寺監門-將作監,15030207
466,1503020714,1503020714,Directorate of Waterways,寺監門-都水監,15030207
467,15030208,15030208,Censorate Offices,御史臺門,150302
468,15030209,15030209,Remonstrance Bureau,諫院門,150302
469,15030210,15030210,Special Commissioners,專使門,150302
470,1504,1504,Palace Guard Offices,皇宮京城禁衛與侍奉機構類,15
471,150401,150401,Three Commands of the Palace Armies,禁軍三衙門,1504
472,150402,150402,Capital Security Offices,皇城司門,1504
