index,c_inst_name_code,c_inst_code,c_inst_addr_type_code,c_inst_addr_begin_year,c_inst_addr_end_year,c_inst_addr_id,inst_xcoord,inst_ycoord,c_source,c_pages,c_notes,c_secondary_source_author
0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,,,
1,1,1,1,,,18278,0.0,0.0,9599.0,5461,"from L.Walton: YR II.1317; II,1954; Lao, p.122",
2,1,2,1,,,17561,0.0,0.0,9599.0,6140,from L.Walton: 大明一統志 12.8a,
3,2,3,1,,,0,0.0,0.0,9599.0,14182,元代釋法憶113233居雞足山安定寺,
4,3,4,1,,,18332,0.0,0.0,9599.0,14019,元代釋允清113075居衢州子湖安國禪寺,
5,6,7,1,,,18537,0.0,0.0,9599.0,2067,,
6,7,8,1,,,18454,0.0,0.0,,,from L.Walton: SYXA 64.9b; 大明一統志 76.9a,
7,8,9,1,,,18542,0.0,0.0,9599.0,5131,"from L.Walton: Wu Cheng, 23.30a-32b; SYXA 92.25b12",
8,8,3347,1,1246.0,,12955,114.7797,26.46177,38278.0,304,多个出處:宋代書院與宋代學術之關係P304;江西古代書院研究P112.,
9,9,10,1,,,200010,0.0,0.0,9599.0,4134,,
10,10,11,1,,,18505,0.0,0.0,9599.0,12995,,
11,11,12,1,,,18369,0.0,0.0,9599.0,14367,元代釋懷則113412居天台白蓮寺,
12,11,13,1,,,8423,0.0,0.0,27842.0,193,Temple ID 140233 Location: 茂名縣東,
13,12,14,1,,,18543,0.0,0.0,9599.0,10873,,
14,13,15,1,,,18573,0.0,0.0,,,"from L.Walton: Ma Tingluan, 17.10a-12a; Bailudong shuyuan zhi (various editions, 1566,1592,1622, 1910]",
15,14,16,1,,,18506,0.0,0.0,9599.0,2175,"from L.Walton: Liu Yi 劉繹 ed., Bailuzhou shuyuan zhi (1871); Liu Jiangsun, Yangwu zhaiji [e-SKQS ed.], 27.1a-b; Liu Chenweng, Xuxi ji [e-SKQS ed], 3.34b-37b",
16,15,17,1,,,18511,0.0,0.0,,,"from L.Walton: Liu Yueshen, 5.25a-26b",
17,16,18,1,,,18291,0.0,0.0,9599.0,13063,,
18,16,3032,1,1119.0,,13178,120.4187,30.53045,38280.0,373,多个出處:元代書院之地理分佈P373;中國古代的書院制度P29.,
19,16,3390,1,1278.0,,18262,121.1676,31.25068,,,,
20,17,19,1,,,18426,0.0,0.0,,,"from L.Walton: Yuan Jue, 18.5b-6b; SYXA supp 63.27a-b",
21,17,2978,1,1119.0,,14097,117.60305,28.42376,38278.0,307,,
22,18,20,1,,,18361,0.0,0.0,,,"from L.Walton: He Menggui, 9.18b-21a; SYXA supp.70.63",
23,19,21,1,,,18495,0.0,0.0,9599.0,14047,元代釋世誠113102居南昌般若寺,
24,19,22,1,,,7477,0.0,0.0,27842.0,194,Temple ID 139191 Location: 五臺縣東樓觀谷; Founding: 明成化中,
25,19,23,1,,,7206,0.0,0.0,27842.0,194,Temple ID 140353 Location: 雲南縣北,
26,20,24,1,,,18418,0.0,0.0,9599.0,14067,元代釋正珪113122居池州路報恩光孝禪寺,
27,20,25,1,,,7741,0.0,0.0,27842.0,220,Temple ID 138776 Location: 當塗縣南門內; Founding: 唐贞观二年,
28,21,26,1,,,16814,0.0,0.0,9599.0,14217,元代釋從倫53568居大都報恩寺,
29,21,27,1,,,18294,0.0,0.0,9599.0,14248,元代釋善住30358居居吳郡報恩 寺; Temple ID 138777 Location: 府城隅; Founding: 吴孙权吴夫人舍宅; Other: 吴通元寺，唐名开元寺，吴越今名今称北寺,
30,21,28,1,,,7580,0.0,0.0,27842.0,219,Temple ID 138778 Location: 山陽縣治東; Founding: 宋代; Other: 元代废，明洪武初重建,
31,21,29,1,,,7657,0.0,0.0,27842.0,220,Temple ID 139551 Location: 常山縣北; Founding: 唐贞观二年; Other: 初名保安寺，明末废，康熙中重建,
32,21,30,1,,,7911,0.0,0.0,27842.0,220,Temple ID 139679 Location: 府治東; Founding: 唐代; Other: 宋绍兴中今额，元废、明重建,
33,21,31,1,,,8240,0.0,0.0,27842.0,220,Temple ID 139771 Location: 鐘祥縣東; Founding: 宋开宝二年,
34,21,32,1,,,8235,0.0,0.0,27842.0,220,Temple ID 139785 Location: 安陸縣，隋州城內，應山縣; Founding: 梁天监中（一年）; Other: 由三寺而来,
35,21,33,1,,,8248,0.0,0.0,27842.0,220,Temple ID 139826 Location: 宣城縣，素陽縣均州; Founding: 明洪武中，宋代（三不明）; Other: 由三寺而来,
36,21,34,1,,,8370,0.0,0.0,27842.0,220,Temple ID 139922 Location: 府治東; Other: 旧名天宁万寿寺，宋绍兴中今名,
37,21,35,1,,,8338,0.0,0.0,27842.0,220,Temple ID 139970 Location: 州西南芙蓉山; Founding: 宋代,
38,21,36,1,,,8791,0.0,0.0,27842.0,220,Temple ID 139996 Location: 大足縣治東; Founding: 宋元祐中,
39,21,37,1,,,8743,0.0,0.0,27842.0,220,Temple ID 140081 Location: 舊州城車,
40,21,38,1,,,7818,0.0,0.0,27842.0,221,Temple ID 140175 Location: 州治東; Founding: 宋绍兴二年,
