,c_office_type_node_id,c_tts_node_id,c_office_type_desc,c_office_type_desc_chn,c_parent_id
119,0604050804,06040531,[not yet translated],虞部司,06040508
120,0604050805,06040532,[not yet translated],稅部司,06040508
121,060406,060406,Secretariat-Chancellery ,中書門下/政事堂門,0604
122,06040602,06040602,[not yet translated],吏房,060406
123,06040603,06040603,[not yet translated],戶房,060406
124,06040604,06040604,[not yet translated],兵房,060406
125,06040605,06040605,[not yet translated],禮房,060406
126,06040606,06040606,[not yet translated],樞機房,060406
127,060407,060407,Preceptors and Dukes ,師保門,0604
128,06040702,06040702,[not yet translated],三師,060407
129,06040703,06040703,[not yet translated],三公,060407
130,0605,0605,Censorate ,御史臺類,06
131,060502,060502,Headquarters Bureau ,臺院,0605
132,060503,060503,Palace Bureau ,殿院,0605
133,060504,060504,Investigation Bureau ,察院,0605
134,060505,060505,Auxiliary Censorate ,東都留臺,0605
135,0606,0606,Chief Ministers and Directors Offices ,寺監類,06
136,060602,060602,Courts of Imperial Sacrifices ,太常寺門,0606
137,06060202,06060202,[not yet translated],太常寺,060602
138,06060203,06060203,[not yet translated],兩京郊社署,060602
139,06060204,06060204,[not yet translated],諸陵署,060602
140,06060205,06060205,[not yet translated],諸太子陵署,060602
141,06060206,06060206,[not yet translated],太樂署,060602
142,06060207,06060207,[not yet translated],鼓吹署,060602
143,06060208,06060208,[not yet translated],太醫署,060602
144,06060209,06060209,[not yet translated],太卜署,060602
145,06060210,06060210,[not yet translated],廩犧署,060602
146,06060211,06060211,[not yet translated],汾祠署,060602
147,06060212,06060212,[not yet translated],兩京齊太公廟署,060602
148,060603,060603,Imperial Entertainments ,光祿寺門,0606
149,06060302,06060302,[not yet translated],太官署,060603
150,06060303,06060303,[not yet translated],珍羞署,060603
151,06060304,06060304,[not yet translated],良醞署,060603
152,06060305,06060305,[not yet translated],掌醢署,060603
153,060604,060604,Imperial Regalia ,衛尉寺門,0606
154,06060402,06060402,[not yet translated],兩京武庫署,060604
155,06060403,06060403,[not yet translated],武器署,060604
156,06060404,06060404,[not yet translated],守宮署,060604
157,060605,060605,Imperial Clan ,宗正寺門,0606
158,06060502,06060502,[not yet translated],諸陵台,060605
159,06060503,06060503,[not yet translated],崇玄署,060605
160,060606,060606,Imperial Stud ,太僕寺門,0606
161,06060602,06060602,[not yet translated],乘黄署,060606
162,06060603,06060603,[not yet translated],典厩署,060606
163,06060604,06060604,[not yet translated],典牧署,060606
164,06060605,06060605,[not yet translated],車府署,060606
165,06060606,06060606,[not yet translated],諸牧監,060606
166,0606060602,06060607,[not yet translated],東宮諸牧監,06060606
167,06060607,06060608,[not yet translated],沙苑監,060606
168,060607,060607,State Ceremonial ,鴻臚寺門,0606
169,06060702,06060702,[not yet translated],典客署,060607
170,06060703,06060703,[not yet translated],司儀署,060607
171,060608,060608,Imperial Granaries ,司農寺門,0606
172,06060802,06060802,[not yet translated],上林署,060608
173,06060803,06060803,[not yet translated],太倉署,060608
174,06060804,06060804,[not yet translated],鉤盾署,060608
175,06060805,06060805,[not yet translated],䆃官署,060608
176,06060806,06060806,[not yet translated],諸倉署,060608
177,06060807,06060807,[not yet translated],司竹監,060608
178,06060808,06060808,[not yet translated],慶善監,060608
179,06060809,06060809,[not yet translated],石門監,060608
180,06060810,06060810,[not yet translated],溫泉湯監,060608
181,06060811,06060811,[not yet translated],京都諸宮苑總監,060608
182,06060812,06060812,[not yet translated],京都諸園苑四面監,060608
183,06060813,06060813,[not yet translated],京都諸園苑四面監,060608
184,06060814,06060814,[not yet translated],九成宮總監,060608
185,06060815,06060815,[not yet translated],諸鹽池監,060608
186,06060816,06060816,[not yet translated],諸屯監,060608
187,060609,060609,Imperial Treasury ,太府寺門,0606
188,06060902,06060902,[not yet translated],兩京諸市署,060609
189,06060903,06060903,[not yet translated],平準署,060609
190,06060904,06060904,[not yet translated],左藏署,060609
191,06060905,06060905,[not yet translated],右藏署,060609
192,06060906,06060906,[not yet translated],常平署,060609
193,060610,060610,Judicial Review ,大理寺門,0606
194,060611,060611,Directorate of Education ,國子監門,0606
195,06061102,06061102,[not yet translated],國子學,060611
196,06061103,06061103,[not yet translated],太學,060611
197,06061104,06061104,[not yet translated],廣文館,060611
198,06061105,06061105,[not yet translated],四門學,060611
199,06061106,06061106,[not yet translated],律學,060611
200,06061107,06061107,[not yet translated],書學,060611
201,06061108,06061108,[not yet translated],算學,060611
202,060612,060612,Directorate of Imperial Manufactories ,少府監門,0606
203,06061202,06061202,[not yet translated],中尚署,060612
204,06061203,06061203,[not yet translated],左尚署,060612
205,06061204,06061204,[not yet translated],右尚署,060612
206,06061205,06061205,[not yet translated],織染署,060612
207,06061206,06061206,[not yet translated],掌冶署,060612
208,06061207,06061207,[not yet translated],諸冶監,060612
209,06061208,06061208,[not yet translated],互市監,060612
210,060613,060613,Directorate for Weaponry ,軍器監門,0606
211,06061302,06061302,[not yet translated],甲坊署,060613
212,06061303,06061303,[not yet translated],弩坊署,060613
213,060614,060614,Directorate for the Palace Buildings ,將作監門,0606
214,06061402,06061402,[not yet translated],左校署,060614
215,06061403,06061403,[not yet translated],右校署,060614
216,06061404,06061404,[not yet translated],中校署,060614
217,06061405,06061405,[not yet translated],甄官署,060614
218,06061406,06061406,[not yet translated],百工監,060614
219,06061407,06061407,[not yet translated],就穀監,060614
220,06061408,06061408,[not yet translated],庫穀監,060614
221,06061409,06061409,[not yet translated],斜穀監,060614
222,06061410,06061410,[not yet translated],太陰監,060614
223,06061411,06061411,[not yet translated],伊陽監,060614
224,060615,060615,Directorate of Waterways ,都水監門,0606
225,06061502,06061502,[not yet translated],舟檝署,060615
226,06061503,06061503,[not yet translated],河渠署,060615
227,06061504,06061504,[not yet translated],諸津,060615
228,060616,060616,Directorate of Astronomy ,司天監門,0606
229,0607,0607,Rank Offices ,品位官類,06
230,060702,060702,Prestige Titles (Civil) ,文散官門,0607
231,060703,060703,Prestige Titles (Military) ,武散官門,0607
232,0608,0608,Military Offices ,武官類,06
233,060802,060802,Six Imperial Armies ,六軍門,0608
234,06080202,06080202,[not yet translated],龍武軍,060802
235,0608020202,06080203,[not yet translated],左龍武軍,06080202
236,0608020203,06080204,[not yet translated],右龍武軍,06080202
237,06080203,06080205,[not yet translated],神武軍,060802
238,0608020302,06080206,[not yet translated],左神武軍,06080203
239,0608020303,06080207,[not yet translated],右神武軍,06080203
240,06080204,06080208,[not yet translated],羽林軍,060802
241,0608020402,06080209,[not yet translated],左羽林軍,06080204
242,0608020403,06080210,[not yet translated],右羽林軍,06080204
243,0608020404,06080211,[not yet translated],左羽林軍翊中郎將府,06080204
244,060803,060803,Heavenly Strategy Army Garrison ,天策上軍府,0608
245,060804,060804,Sixteen Garrison Commands ,中央衛軍十六衛府門,0608
246,06080402,06080402,[not yet translated],左右衛,060804
247,0608040202,06080403,[not yet translated],左衛,06080402
248,0608040203,06080404,[not yet translated],右衛,06080402
249,0608040204,06080405,[not yet translated],親衛中郎將府,06080402
250,0608040205,06080406,[not yet translated],勳一衛中郎將府,06080402
251,0608040206,06080407,[not yet translated],勳二衛中郎將府,06080402
252,0608040207,06080408,[not yet translated],翊一衛中郎將府,06080402
253,0608040208,06080409,[not yet translated],翊二衛中郎將府,06080402
254,06080403,06080410,[not yet translated],左右驍衛,060804
255,0608040302,06080411,[not yet translated],左驍衛,06080403
256,0608040303,06080412,[not yet translated],右驍衛,06080403
257,0608040304,06080413,[not yet translated],左驍衛翊中郎將府,06080403
258,0608040305,06080414,[not yet translated],右驍衛翊中郎將府,06080403
259,06080404,06080415,[not yet translated],左右武衛,060804
260,0608040402,06080416,[not yet translated],左武衛,06080404
261,0608040403,06080417,[not yet translated],右武衛,06080404
262,0608040404,06080418,[not yet translated],左武衛翊中郎將府,06080404
263,0608040405,06080419,[not yet translated],右武衛翊中郎將府,06080404
264,0608040406,06080420,[not yet translated],右武衛,06080404
265,0608040407,06080421,[not yet translated],左威衛,06080404
266,0608040408,06080422,[not yet translated],左威衛翊中郎將府,06080404
267,0608040409,06080423,[not yet translated],右威衛翊中郎將府,06080404
268,06080405,06080424,[not yet translated],左右領軍衛,060804
269,0608040502,06080425,[not yet translated],左領軍衛,06080405
270,0608040503,06080426,[not yet translated],右領軍衛,06080405
271,0608040504,06080427,[not yet translated],左領軍衛翊中郎將府,06080405
272,0608040505,06080428,[not yet translated],右領軍衛翊中郎將府,06080405
273,06080406,06080429,[not yet translated],左右金吾衛,060804
274,0608040602,06080430,[not yet translated],左金吾衛,06080406
275,0608040603,06080431,[not yet translated],右金吾衛,06080406
276,0608040604,06080432,[not yet translated],左金吾衛翊中郎將府,06080406
277,0608040605,06080433,[not yet translated],右金吾衛翊中郎將府,06080406
278,06080407,06080434,[not yet translated],左右監門衛,060804
279,0608040702,06080435,[not yet translated],左監門衛,06080407
280,0608040703,06080436,[not yet translated],右監門衛,06080407
281,0608040704,06080437,[not yet translated],左監門衛翊中郎將府,06080407
282,0608040705,06080438,[not yet translated],右監門衛翊中郎將府,06080407
283,06080408,06080439,[not yet translated],左右千牛衛,060804
284,0608040802,06080440,[not yet translated],左千牛衛,06080408
285,0608040803,06080441,[not yet translated],右千牛衛,06080408
286,0608040804,06080442,[not yet translated],左千牛衛翊中郎將府,06080408
287,0608040805,06080443,[not yet translated],右千牛衛翊中郎將府,06080408
288,06080409,06080444,[not yet translated],諸衛折衝都尉府,060804
289,060805,060805,Ten Guard Commands ,東宮衛軍十率府,0608
290,06080502,06080502,[not yet translated],兵曹,060805
291,06080503,06080503,[not yet translated],冑曹,060805
292,060806,060806,Northern Command Imperial Army ,北衙禁軍門,0608
293,06080602,06080602,[not yet translated],屯營,060806
294,0608060202,06080603,[not yet translated],左屯營,06080602
295,0608060203,06080604,[not yet translated],右屯營,06080602
296,060807,060807,Twleve Imperial Armies of the Southern Command ,南衙十二衛禁軍門,0608
297,06080702,06080702,[not yet translated],威遠營（軍）,060807
298,0608070202,06080703,[not yet translated],左威遠營,06080702
299,0608070203,06080704,[not yet translated],右威遠營,06080702
300,06080703,06080705,[not yet translated],英武軍,060807
301,0608070302,06080706,[not yet translated],左英武軍,06080703
302,0608070303,06080707,[not yet translated],右英武軍,06080703
303,060808,060808,Armies of Inspired Awesomeness ,神威軍,0608
304,06080802,06080802,[not yet translated],左神威軍,060808
305,06080803,06080803,[not yet translated],右神威軍,060808
306,06080804,06080804,[not yet translated],衙前射生手,060808
307,06080805,06080805,[not yet translated],左屯衛,060808
308,06080806,06080806,[not yet translated],右屯衛,060808
309,060809,060809,Armies of Imperial Strategy ,神策軍,0608
310,06080902,06080902,[not yet translated],左神策軍,060809
311,06080903,06080903,[not yet translated],右神策軍,060809
312,060810,060810,Armies of Pacification ,宣威軍,0608
313,060811,060811,Agile Cavalry General Garrison ,驃騎將軍府,0608
314,060812,060812,Chariot and Horse General Garrison ,車騎將軍府,0608
315,0609,0609,Local Offices ,府州郡縣官類,06
316,060902,060902,Palace Command ,殿前司,0609
317,060903,060903,Imperial Bodyguard Command ,侍衛親軍司,0609
318,060904,060904,Metropolitan Prefecture Offices ,京府官門,0609
319,060905,060905,Regency of Eastern Capital ,東都留守府,0609
320,060906,060906,Branch Offices in the Eastern Capital ,東都分司官,0609
321,060907,060907,Regency of Western Capital ,西京留守府,0609
322,060908,060908,Branch Department of State Affairs ,行臺尚書省門,0609
323,060909,060909,Area Command ,總管府門,0609
324,060910,060910,Commander-in-chief ,都督府門,0609
325,060911,060911,Protectorate ,都護府門,0609
326,06091102,06091102,[not yet translated],大都護府,060911
327,06091103,06091103,[not yet translated],上都護府,060911
328,060912,060912,Local Offices (Prefecture) ,州郡官門,0609
329,06091202,06091202,[not yet translated],州官,060912
330,0609120202,06091203,[not yet translated],司倉參軍,06091202
331,0609120203,06091204,[not yet translated],司戶參軍,06091202
332,06091203,06091205,[not yet translated],郡官,060912
333,06091204,06091206,[not yet translated],刺史,060912
334,0609120402,06091207,[not yet translated],司隸臺,06091204
335,060913,060913,Local Offices (District) ,縣鄉官門,0609
336,06091302,06091302,[not yet translated],縣官,060913
337,0609130202,06091303,[not yet translated],縣功曹,06091302
338,060914,060914,"Offices for Guarding Forts, Mountains and Streams, Passes and Fords ",鎮戍、嶽瀆、關津官門,0609
339,0610,0610,Commission Assignments ,使職差遣類,06
340,061002,061002,Branch Department of State Affairs ,行臺省門,0610
341,06100202,06100202,[not yet translated],百工監,061002
342,06100203,06100203,[not yet translated],武器監,061002
343,06100204,06100204,[not yet translated],農圃監,061002
344,06100205,06100205,[not yet translated],食貨監,061002
345,061003,061003,Mobile Brigade ,行營,0610
346,061004,061004,Military Commissioners ,軍政使職門,0610
347,06100402,06100402,[not yet translated],節度使府官,061004
348,06100403,06100403,[not yet translated],監軍使院,061004
349,06100404,06100404,[not yet translated],觀察使府官,061004
350,06100405,06100405,[not yet translated],團練使府官,061004
351,06100406,06100406,[not yet translated],防禦使府官,061004
352,06100407,06100407,[not yet translated],安撫使府官,061004
353,06100408,06100408,[not yet translated],招討使府官,061004
354,06100409,06100409,[not yet translated],經略使府官,061004
355,06100410,06100410,[not yet translated],行軍幕府官,061004
356,06100411,06100411,[not yet translated],行營幕府官,061004
357,06100412,06100412,[not yet translated],天下兵馬元帥府,061004
358,061005,061005,Fiscal Commissioners ,財政使職門,0610
359,06100502,06100502,[not yet translated],三司使,061005
360,06100503,06100503,[not yet translated],轉運使,061005
361,06100504,06100504,[not yet translated],鹽鐵使,061005
362,06100505,06100505,[not yet translated],度支使官,061005
363,06100506,06100506,[not yet translated],營田使官,061005
364,06100507,06100507,[not yet translated],勾當租庸地稅使,061005
365,06100508,06100508,[not yet translated],勸農使,061005
366,06100509,06100509,[not yet translated],戶口使,061005
367,06100510,06100510,[not yet translated],租庸使,061005
368,06100511,06100511,[not yet translated],鑄錢使,061005
369,061006,061006,The Various Palace Commissioners ,內諸司使職門,0610
370,06100602,06100602,[not yet translated],樞密院,061006
371,06100603,06100603,[not yet translated],崇政院,061006
372,06100604,06100604,[not yet translated],中門使,061006
373,06100605,06100605,[not yet translated],宣徽院,061006
374,061007,061007,Investigatory Commissioners ,監察使職門,0610
375,06100702,06100702,[not yet translated],採訪使,061007
376,06100703,06100703,[not yet translated],黜陟使,061007
377,06100704,06100704,[not yet translated],宣慰使,061007
378,06100705,06100705,[not yet translated],宣諭和協使,061007
379,06100706,06100706,[not yet translated],宣諭使,061007
380,061008,061008,Acting Offices ,檢校官,0610
381,061009,061009,Probationary Appointments ,試官,0610
382,0611,0611,Offices of Border Regimes ,周邊政權職官類,06
383,061102,061102,Tujue and (Huihe) Offices ,突厥與回鶻職官門,0611
384,061103,061103,Tubo (Turfan) Offices ,吐蕃職官門,0611
385,061104,061104,Nanzhao Offices ,南詔職官門,0611
386,061105,061105,Bohai Offices ,渤海職官門,0611
387,0612,0612,Noble and Honorary Offices ,勳爵類,06
388,061202,061202,Noble and Honorary Offices ,爵勳門,0612
389,06120202,06120202,Noble Titles ,爵,061202
390,061203,06120203,Honorific Titles ,勳,0612
391,15,15,Song Dynasty,宋朝,0
392,1501,1501,Palace Institutions,宮廷制度類,15
393,150101,150101,Imperial Offices,帝后門,1501
394,150102,150102,Secretariat Palace Services,尚書內省門,1501
395,150103,150103,Heir Apparent's Offices,皇太子與東宮官門,1501
396,150104,150104,Princesses' Establisment and Commandant Escort Office,公主與駙馬都尉門,1501
397,150105,150105,Imperial Princes' Establishment,親王府與王府官門,1501
398,150106,150106,Institute of Academicians,學士院門,1501
399,150107,150107,Classics Colloquium Office,經筵官門,1501
400,150108,150108,Eunuch Offices,宦官門,1501
401,15010801,15010801,Department of Palace Attendants,宦官門-內侍省,150108
402,1501080101,1501080101,Palace Personnel Office,宦官門-內侍省前身(內班院),15010801
403,1501080102,1501080102,Eunuch Attendants Office,宦官門-內侍省前身(黃門院),15010801
404,1501080103,1501080103,Eunuch Duty Group Office,宦官門-內侍省前身(內侍省內侍班院),15010801
405,15010802,15010802,Palace Eunuch Services,宦官門-入內內侍省,150108
406,1501080201,1501080201,Palace General Administration Services,宦官門-入內內侍省前身-(入內都知司與東門都知司),15010802
407,1501080202,1501080202,Court of Palace High-Rank Servitors,宦官門-入內內侍省前身(內中高品班院),15010802
408,1501080203,1501080203,Inner Palace Personnel Office,宦官門-入內內侍省前身(入內內班院),15010802
409,1501080204,1501080204,Imperial Gate Service Office,宦官門-入內內侍省前身(入內黃門班院),15010802
410,1501080205,1501080205,Palace Eunuch Duty Group,宦官門-入內內侍省前身(內侍省入內內侍班院),15010802
411,1501080206,1501080206,Palace Eunuch Services Subordinate Offices,宦官門-入內內侍省屬司,15010802
412,150109,150109,Hanlin Artisan Institute,翰林院門,1501
413,15010901,15010901,Astrologer Services,翰林天文院(局)門,150109
414,15010902,15010902,Imperial Painting Academy,翰林圖畫院(局)門,150109
415,15010903,15010903,Imperial Academy of Calligraphy,翰林御書院(翰林書藝局)門,150109
416,15010904,15010904,Physician Service,翰林醫官院(局)門,150109
417,1502,1502,State Council Offices,宰執官類,15
418,150202,150202,Grand Councilor Offices,宰相門,1502
419,150203,150203,Manager of National Security Matters,平章軍國事門,1502
420,150204,150204,Military Commissioner and Grand Councilor,使相門,1502
421,150205,150205,Vice Grand Councilor Offices,執政門,1502
422,1503,1503,Central Government Offices,中樞機構類,15
423,150301,150301,Central Government Offices (before 1080),中樞機構類(元豐正名前),1503
424,15030101,15030101,Grand Preceptors and Counselors Offices,三師三公三少門,150301
425,15030102,15030102,Secretariat Chancellory,中書門下門,150301
426,15030103,15030103,Secretariat Chancellory: Subordinate Offices,中書門下附屬機構門,150301
427,15030104,15030104,Bureau of Military Affairs,樞密院門,150301
428,15030105,15030105,State Finance Commission,三司門,150301
429,15030106,15030106,Remonstrance Bureau,諫院門,150301
430,15030107,15030107,Judicial Control Office,審刑院門,150301
431,15030108,15030108,Ministry of Justice,刑部官門,150301
432,15030109,15030109,Capital Bureau of Judicial Investigation,在京糾察刑獄司門,150301
433,15030110,15030110,Court of Palace Attendants,宣徽院門,150301
434,15030111,15030111,Horse Office,群牧司門,150301
435,15030112,15030112,Academicians of Various Halls and Chambers,殿閣學士門,150301
436,15030113,15030113,Three Institutes and Imperial Archives,三館秘閣門,150301
437,150302,150302,Central Government Offices (after 1080),中樞機構類(元豐正名後),1503
438,15030201,15030201,Three Departments,三省門,150302
439,1503020101,1503020101,Chancellory,三省門-門下省,15030201
440,1503020102,1503020102,Secretariat,三省門-中書省,15030201
441,1503020103,1503020103,Department of State Affairs,三省門-尚書省,15030201
442,15030202,15030202,Department of Military Affairs Subordinate Offices,三省樞密院附屬官司門,150302
443,15030203,15030203,Six Ministries of the Department of State Affairs,尚書省六部門,150302
444,1503020301,1503020301,Ministry of Personnel,尚書省六部門-吏部,15030203
445,1503020302,1503020302,Ministry of Revenue,尚書省六部門-戶部,15030203
446,1503020303,1503020303,Ministry of Rites,尚書省六部門-禮部,15030203
447,1503020304,1503020304,Ministry of War,尚書省六部門-兵部,15030203
448,1503020305,1503020305,Ministry of Justice,尚書省六部門-刑部,15030203
449,1503020306,1503020306,Ministry of Works,尚書省六部門-工部,15030203
450,15030204,15030204,Imperial Archive Offices,秘書省門,150302
451,15030205,15030205,Historiography Offices,修史機構門,150302
452,15030206,15030206,Palace Administration,殿中省門,150302
453,15030207,15030207,Courts and Directorates,寺監門,150302
454,1503020701,1503020701,Court of Imperial Sacrifices,寺監門-太常寺,15030207
455,1503020702,1503020702,Court of the Imperial Clan,寺監門-宗正寺與大宗正司,15030207
456,1503020703,1503020703,Court of Imperial Entertainments,寺監門-光祿寺,15030207
457,1503020704,1503020704,Court of Imperial Regalia,寺監門-衛尉寺,15030207
458,1503020705,1503020705,Court of Imperial Stud,寺監門-太僕寺,15030207
459,1503020706,1503020706,Court of the Judicial Review,寺監門-大理寺,15030207
460,1503020707,1503020707,Court for Dependencies,寺監門-鴻臚寺,15030207
461,1503020708,1503020708,Court of National Granaries,寺監門-司農寺,15030207
462,1503020709,1503020709,Court of the Imperial Treasury,寺監門-太府寺,15030207
463,1503020710,1503020710,Directorate for Education,寺監門-國子監,15030207
464,1503020711,1503020711,Directorate for Imperial Manufactories,寺監門-少府監,15030207
465,1503020712,1503020712,Directorate for Armaments,寺監門-軍器監,15030207
466,1503020713,1503020713,Directorate for the Palace Buildings,寺監門-將作監,15030207
467,1503020714,1503020714,Directorate of Waterways,寺監門-都水監,15030207
468,15030208,15030208,Censorate Offices,御史臺門,150302
469,15030209,15030209,Remonstrance Bureau,諫院門,150302
470,15030210,15030210,Special Commissioners,專使門,150302
471,1504,1504,Palace Guard Offices,皇宮京城禁衛與侍奉機構類,15
472,150401,150401,Three Commands of the Palace Armies,禁軍三衙門,1504
473,150402,150402,Capital Security Offices,皇城司門,1504
474,150403,150403,Palace Army Offices of Admittance,御前忠佐軍頭引見司門,1504
475,150404,150404,Five Offices Cross-wise Ranks,橫行五司門,1504
476,150405,150405,Three Capital Guards,三衛官門,1504
477,150406,150406,Six Commander-generals,六統軍門,1504
478,150407,150407,Imperial Guard Offices,環衛官門,1504
479,1505,1505,Military Command and Local Security Offices,軍事統帥機構與地方治安機構類,15
480,150501,150501,Grand Marshal Command,大元帥府門,1505
481,150502,150502,Area Command Offices,都督府門,1505
482,150503,150503,Military Area Commander-in-chief,兵馬部署(總管)門,1505
483,150504,150504,Military Administrator of Infantry and the Cavalry,兵馬鈐轄門,1505
484,150505,150505,Military Director-in-chief,兵馬都監監押門,1505
